codigo,nome,descricao,categoria,secao,fabricante,numero_peca,unidade,localizacao,estoque_atual,estoque_minimo,estoque_maximo,status
11294,FILTRO DE OLEO TECFIL PH346,FILTRO DE OLEO TECFIL PH346,,Motor e Transmissão,,,UN,,76.0,0,0,Ativo
11312,KIT MARTELETE PNEUMATICO COM 5 CINZEIS,KIT MARTELETE PNEUMATICO COM 5 CINZEIS,,Ferramentas,,,UN,,1.0,0,0,Ativo
11397,PARAFUSO SEXTAVADO INOX MM MA (RG) 10X20,PARAFUSO SEXTAVADO INOX MM MA (RG) 10X20,,"Fixação e Diversos (parafusos, arruelas, etc.)",,,UN,,76.0,0,0,Ativo
11501,CHAVE RODA 30X32 S/CABO,CHAVE RODA 30X32 S/CABO,,Ferramentas,,,UN,,1.0,0,0,Ativo
11504,MACACO HIDRAULICO 12 TON - BOVENAU,MACACO HIDRAULICO 12 TON - BOVENAU,,Ferramentas,,,UN,,7.0,0,0,Ativo
11540,FECHADURA PORTA INTERNA MB - L/D,FECHADURA PORTA INTERNA MB - L/D,,Direção e Cabine,,,UN,,3.0,0,0,Ativo
11563,TRINCO QUEBRA VENTO,TRINCO QUEBRA VENTO,,Direção e Cabine,,,UN,,3.0,0,0,Ativo
11648,ALICATE REBITADOR BERG,ALICATE REBITADOR BERG,,Ferramentas,,,UN,,1.0,0,0,Ativo
11873,LOGOTIPO WORKER,LOGOTIPO WORKER,,Geral,,,UN,,2.0,0,0,Ativo
12027,LIXA MASSA 120 3M 230U,LIXA MASSA 120 3M 230U,,Ferramentas,,,UN,,13.0,0,0,Ativo
12056,FLUIDO DE FREIO DOT 4,FLUIDO DE FREIO DOT 4,,Freio e Suspensão,,,UN,,1.0,0,0,Ativo
12171,PINO 2936B56G01,PINO 2936B56G01,,"Fixação e Diversos (parafusos, arruelas, etc.)",,,UN,,4.0,0,0,Ativo
12292,CONTROLADOR,CONTROLADOR,,Geral,,,UN,,1.0,0,0,Ativo
12301,CATRACA FREIO DIR. 26 ESTRIAS BOECHAT,CATRACA FREIO DIR. 26 ESTRIAS BOECHAT,,Freio e Suspensão,,,UN,,1.0,0,0,Ativo
12515,KIT BOMBA DE OLEO,KIT BOMBA DE OLEO,,Motor e Transmissão,,,UN,,1.0,0,0,Ativo
12563,MACANETA INTERNA VW 13.180,MACANETA INTERNA VW 13.180,,Direção e Cabine,,,UN,,7.0,0,0,Ativo
12652,CHAVE CATRACA 1/2 CCT 1/2,CHAVE CATRACA 1/2 CCT 1/2,,Ferramentas,,,UN,,2.0,0,0,Ativo
12812,THINNER ANJO 5LTS,THINNER ANJO 5LTS,,Pintura e Química,,,UN,,5.0,0,0,Ativo
12880,CORREIA DO MOTOR AO COMPR,CORREIA DO MOTOR AO COMPR,,Motor e Transmissão,,,UN,,7.0,0,0,Ativo
12939,JOGO SOQUETE IMPACTO ARTICULADO 1/2 8PCS,JOGO SOQUETE IMPACTO ARTICULADO 1/2 8PCS,,Ferramentas,,,UN,,1.0,0,0,Ativo
13087,PARAFUSO SEXTAVADO INOX 5/16 X 1.1/2,PARAFUSO SEXTAVADO INOX 5/16 X 1.1/2,,"Fixação e Diversos (parafusos, arruelas, etc.)",,,UN,,1.0,0,0,Ativo
13142,HELICE DO EVAPORADOR 4107D64H01,HELICE DO EVAPORADOR 4107D64H01,,Thermo King,,,UN,,1.0,0,0,Ativo
13208,CONEXAO TEE COM RESTRITOR,CONEXAO TEE COM RESTRITOR,,"Fixação e Diversos (parafusos, arruelas, etc.)",,,UN,,1.0,0,0,Ativo
13388,"ELETROV. SPAL 9"" 24V","ELETROV. SPAL 9"" 24V",,Elétrica,,,UN,,2.0,0,0,Ativo
13438,TANQUE LIQUIDO 4 + CONEXAO 3/4 16UNF,TANQUE LIQUIDO 4 + CONEXAO 3/4 16UNF,,"Fixação e Diversos (parafusos, arruelas, etc.)",,,UN,,1.0,0,0,Ativo
13523,MANCAL DE PRESSAO DO CASO MOTOR TK,MANCAL DE PRESSAO DO CASO MOTOR TK,,Thermo King,,,UN,,1.0,0,0,Ativo
13597,MACANETA EXTERNA-MB ACCELO 2005/L.D C/CH,MACANETA EXTERNA-MB ACCELO 2005/L.D C/CH,,Direção e Cabine,,,UN,,1.0,0,0,Ativo
13616,ALAVANCA FREIO MAO VW 12140,ALAVANCA FREIO MAO VW 12140,,Freio e Suspensão,,,UN,,1.0,0,0,Ativo
13628,KIT FILTROS MD300,KIT FILTROS MD300,,Motor e Transmissão,,,UN,,4.0,0,0,Ativo
13701,PARAFUSO SEXTAVADO INOX 1/4 X 1,PARAFUSO SEXTAVADO INOX 1/4 X 1,,"Fixação e Diversos (parafusos, arruelas, etc.)",,,UN,,26.0,0,0,Ativo
13784,ENDURECEDOR PU 00065 450ML,ENDURECEDOR PU 00065 450ML,,Pintura e Química,,,UN,,16.0,0,0,Ativo
13817,CHAVE CANHAO 11MM,CHAVE CANHAO 11MM,,Ferramentas,,,UN,,1.0,0,0,Ativo
13907,JOGO DE CHAVE SOQUETE 1/2-10 A 32MM,JOGO DE CHAVE SOQUETE 1/2-10 A 32MM,,Ferramentas,,,UN,,2.0,0,0,Ativo
13909,SENSOR NIVEL DO LIQ. ARREFECIMENTO,SENSOR NIVEL DO LIQ. ARREFECIMENTO,,Elétrica,,,UN,,1.0,0,0,Ativo
13920,CONECTOR DA VELA DE IGNICAO,CONECTOR DA VELA DE IGNICAO,,Elétrica,,,UN,,1.0,0,0,Ativo
